Location Code,Depth,Sampled Date,Chem Name,Prefix,Result,Unit
BH01,3 - 3.1,15/11/2023,Arsenic,,45,mg/kg
BH01,3 - 3.1,15/11/2023,Cadmium,,24,mg/kg
BH01,3 - 3.1,15/11/2023,Chromium,,615,mg/kg
BH01,3 - 3.1,15/11/2023,Copper,,253,mg/kg
BH01,3 - 3.1,15/11/2023,Lead,,1800,mg/kg
BH01,3 - 3.1,15/11/2023,Mercury,,0.1,mg/kg
BH01,3 - 3.1,15/11/2023,Nickel,,694,mg/kg
BH01,3 - 3.1,15/11/2023,Zinc,,2340,mg/kg
BH01,4.8 - 4.9,15/11/2023,Arsenic,,26,mg/kg
BH01,4.8 - 4.9,15/11/2023,Cadmium,,5,mg/kg
BH01,4.8 - 4.9,15/11/2023,Chromium,,50,mg/kg
BH01,4.8 - 4.9,15/11/2023,Copper,,2150,mg/kg
BH01,4.8 - 4.9,15/11/2023,Lead,,837,mg/kg
BH01,4.8 - 4.9,15/11/2023,Mercury,,0.2,mg/kg
BH01,4.8 - 4.9,15/11/2023,Nickel,,88,mg/kg
BH01,4.8 - 4.9,15/11/2023,Zinc,,5310,mg/kg
BH03,0.5 - 0.6,15/11/2023,Arsenic,,11,mg/kg
BH03,0.5 - 0.6,15/11/2023,Cadmium,<,1,mg/kg
BH03,0.5 - 0.6,15/11/2023,Chromium,,42,mg/kg
BH03,0.5 - 0.6,15/11/2023,Copper,,23,mg/kg
BH03,0.5 - 0.6,15/11/2023,Lead,,22,mg/kg
BH03,0.5 - 0.6,15/11/2023,Mercury,<,0.1,mg/kg
BH03,0.5 - 0.6,15/11/2023,Nickel,,37,mg/kg
BH03,0.5 - 0.6,15/11/2023,Zinc,,72,mg/kg
BH03,2 - 2.1,15/11/2023,Arsenic,,6,mg/kg
BH03,2 - 2.1,15/11/2023,Cadmium,<,1,mg/kg
BH03,2 - 2.1,15/11/2023,Chromium,,28,mg/kg
BH03,2 - 2.1,15/11/2023,Copper,,49,mg/kg
BH03,2 - 2.1,15/11/2023,Lead,,184,mg/kg
BH03,2 - 2.1,15/11/2023,Mercury,<,0.1,mg/kg
BH03,2 - 2.1,15/11/2023,Nickel,,26,mg/kg
BH03,2 - 2.1,15/11/2023,Zinc,,225,mg/kg
BH05,1.8 - 1.9,15/11/2023,Arsenic,,5,mg/kg
BH05,1.8 - 1.9,15/11/2023,Cadmium,<,1,mg/kg
BH05,1.8 - 1.9,15/11/2023,Chromium,,56,mg/kg
BH05,1.8 - 1.9,15/11/2023,Copper,,22,mg/kg
BH05,1.8 - 1.9,15/11/2023,Lead,,26,mg/kg
BH05,1.8 - 1.9,15/11/2023,Mercury,<,0.1,mg/kg
BH05,1.8 - 1.9,15/11/2023,Nickel,,55,mg/kg
BH05,1.8 - 1.9,15/11/2023,Zinc,,344,mg/kg
BH05,5 - 5.1,15/11/2023,Arsenic,,12,mg/kg
BH05,5 - 5.1,15/11/2023,Cadmium,,2,mg/kg
BH05,5 - 5.1,15/11/2023,Chromium,,34,mg/kg
BH05,5 - 5.1,15/11/2023,Copper,,1460,mg/kg
BH05,5 - 5.1,15/11/2023,Lead,,557,mg/kg
BH05,5 - 5.1,15/11/2023,Mercury,<,0.1,mg/kg
BH05,5 - 5.1,15/11/2023,Nickel,,80,mg/kg
BH05,5 - 5.1,15/11/2023,Zinc,,30000,mg/kg
BH05,7.5 - 7.6,15/11/2023,Arsenic,<,5,mg/kg
BH05,7.5 - 7.6,15/11/2023,Cadmium,<,1,mg/kg
BH05,7.5 - 7.6,15/11/2023,Chromium,,52,mg/kg
BH05,7.5 - 7.6,15/11/2023,Copper,,43,mg/kg
BH05,7.5 - 7.6,15/11/2023,Lead,,68,mg/kg
BH05,7.5 - 7.6,15/11/2023,Mercury,<,0.1,mg/kg
BH05,7.5 - 7.6,15/11/2023,Nickel,,79,mg/kg
BH05,7.5 - 7.6,15/11/2023,Zinc,,1950,mg/kg
